state,visited
Alabama,5
Alaska,4
Arkansas,0
Arizona,2
California,6
Colorado,70
Connecticut,4
Delaware,0
Florida,6
Georgia,0
Hawaii,0
Iowa,0
Idaho,1
Illinois,1
Indiana,0
Kansas,4
Kentucky,0
Louisiana,5
Maine,1
Maryland,1
Massachusetts,3
Michigan,0
Minnesota,1
Missouri,3
Mississippi,0
Montana,4
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,1
New Jersey,0
New Mexico,1
Nevada,1
New York,2
Ohio,1
Oklahoma,0
Oregon,1
Pennsylvania,1
Rhode Island,1
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,1
Virginia,0
Vermont,0
Washington,1
Wisconsin,0
West Virginia,0
Wyoming,1
